 2018/11/19 00:01:42 10.61.130.1     956.69
 2018/11/19 00:01:48 10.61.132.1     0s
 2018/11/19 00:01:49 10.56.41.193    1.0026
 2018/11/19 00:01:55 10.61.8.1       0s
 2018/11/19 00:01:56 10.61.130.144   960.68
 2018/11/19 00:02:02 10.61.1.1       0s
 2018/11/19 00:02:03 10.61.128.1     947.69
 2018/11/19 00:02:04 10.61.2.1       950.69
 2018/11/19 00:02:10 10.61.6.1       0s
 2018/11/19 00:02:16 10.56.41.161    0s
 2018/11/19 00:02:17 10.61.129.1     1.0666
 2018/11/19 00:02:18 10.61.129.144   1.0466
 2018/11/19 00:02:19 10.61.131.1     971.68
 2018/11/19 00:02:25 10.61.133.1     0s
 2018/11/19 00:10:26 10.56.41.193    994.64
 2018/11/19 00:10:32 10.61.8.1       0s
 2018/11/19 00:10:33 10.61.130.144   947.68
 2018/11/19 00:10:39 10.61.1.1       0s
 2018/11/19 00:10:40 10.61.128.1     946.68
 2018/11/19 00:10:42 10.61.2.1       1.9783
 2018/11/19 00:10:48 10.61.6.1       0s
 2018/11/19 00:10:54 10.61.133.1     0s
 2018/11/19 00:11:00 10.56.41.161    0s
 2018/11/19 00:11:01 10.61.129.1     964.68
 2018/11/19 00:11:02 10.61.129.144   1.0116
 2018/11/19 00:11:03 10.61.131.1     932.69
 2018/11/19 00:11:04 10.61.130.1     965.68
 2018/11/19 00:11:10 10.61.132.1     0s
 2018/11/19 00:19:11 10.61.130.144   996.67
 2018/11/19 00:19:12 10.56.41.193    1.0236
 2018/11/19 00:19:18 10.61.8.1       0s
 2018/11/19 00:19:19 10.61.2.1       979.67
 2018/11/19 00:19:25 10.61.6.1       0s
 2018/11/19 00:19:31 10.61.1.1       0s
 2018/11/19 00:19:32 10.61.128.1     953.66
 2018/11/19 00:19:33 10.61.129.144   1.3105
 2018/11/19 00:19:35 10.61.131.1     1.1776
 2018/11/19 00:19:41 10.61.133.1     0s
 2018/11/19 00:19:47 10.56.41.161    0s
 2018/11/19 00:19:48 10.61.129.1     1.4095
 2018/11/19 00:19:49 10.61.130.1     996.67
 2018/11/19 00:19:55 10.61.132.1     0s
 2018/11/19 00:28:01 10.61.132.1     0s
 2018/11/19 00:28:02 10.61.130.1     966.66
 2018/11/19 00:28:08 10.61.8.1       0s
 2018/11/19 00:28:09 10.61.130.144   998.64
 2018/11/19 00:28:10 10.56.41.193    976.68
 2018/11/19 00:28:11 10.61.128.1     940.69
 2018/11/19 00:28:12 10.61.2.1       945.69
 2018/11/19 00:28:18 10.61.6.1       0s
 2018/11/19 00:28:24 10.61.1.1       0s
 2018/11/19 00:28:25 10.61.129.1     1.0086
 2018/11/19 00:28:29 10.61.129.144   878.71
 2018/11/19 00:28:30 10.61.131.1     972.68
 2018/11/19 00:28:36 10.61.133.1     0s
 2018/11/19 00:28:42 10.56.41.161    0s
 2018/11/19 00:36:48 10.61.1.1       0s
 2018/11/19 00:36:49 10.61.128.1     944.69
 2018/11/19 00:36:50 10.61.2.1       1.0266
 2018/11/19 00:36:56 10.61.6.1       0s
 2018/11/19 00:37:02 10.56.41.161    0s
 2018/11/19 00:37:03 10.61.129.1     942.69
 2018/11/19 00:37:04 10.61.129.144   1.2206
 2018/11/19 00:37:05 10.61.131.1     903.70
 2018/11/19 00:37:11 10.61.133.1     0s
 2018/11/19 00:37:12 10.61.130.1     957.66
 2018/11/19 00:37:18 10.61.132.1     0s
 2018/11/19 00:37:19 10.56.41.193    971.68
 2018/11/19 00:37:25 10.61.8.1       0s
 2018/11/19 00:37:31 10.61.130.144   0s
 2018/11/19 00:45:32 10.56.41.193    977.68
 2018/11/19 00:45:38 10.61.8.1       0s
 2018/11/19 00:45:44 10.61.130.144   0s
 2018/11/19 00:45:50 10.61.6.1       0s
 2018/11/19 00:45:56 10.61.1.1       0s
