 2019/02/15 07:07:30 10.61.2.1       1.5752
 2019/02/15 07:07:36 10.61.8.1       0s
 2019/02/15 07:07:38 10.56.41.161    1.9698
 2019/02/15 07:07:44 10.61.1.1       0s
 2019/02/15 07:07:45 10.61.128.1     1.4533
 2019/02/15 07:07:47 10.61.131.1     1.4590
 2019/02/15 07:07:48 10.61.132.1     1.4713
 2019/02/15 07:07:50 10.61.129.1     1.4934
 2019/02/15 07:07:51 10.61.129.144   1.5255
 2019/02/15 07:07:52 10.61.130.1     202.92
 2019/02/15 07:07:58 10.61.133.1     0s
 2019/02/15 07:07:59 10.61.6.1       1.5494
 2019/02/15 07:40:33 10.61.130.144   200.04
 2019/02/15 07:51:34 1.1.1.1         817.11
 2019/02/15 08:04:33 1.1.1.1         865.07
 2019/02/15 08:24:28 1.1.1.1         829.22
