 2019/02/23 00:00:04 10.56.41.161    1.4831
 2019/02/23 00:00:06 10.61.128.1     1.4551
 2019/02/23 00:00:07 10.61.129.144   1.7649
 2019/02/23 00:00:13 10.61.133.1     0s
 2019/02/23 00:00:15 10.61.2.1       1.5621
 2019/02/23 00:00:17 10.61.6.1       1.8929
 2019/02/23 00:00:23 10.61.8.1       0s
 2019/02/23 00:00:29 10.61.1.1       0s
 2019/02/23 00:00:31 10.61.129.1     1.6370
 2019/02/23 00:00:31 10.61.130.1     202.86
 2019/02/23 00:00:32 10.61.131.1     1.4361
 2019/02/23 00:00:34 10.61.132.1     1.4551
